Model,cv/train/r2,cv/test/r2,cv/train/mae,cv/test/mae,cv/train/rmse,cv/test/rmse,cv/test/r2_std,final/train/r2,final/test/r2,final/train/mae,final/test/mae,final/train/rmse,final/test/rmse,final/r2_gap,Stability_Score,CV_R2_Gap,Family
CatBoost,0.8431630738020506,0.8275735747090772,0.3171552079755271,0.33276703698127746,0.3960231503493848,0.41519690681869825,0.0015700441336831364,0.8416453051112044,0.8267065609014836,0.3188278328140901,0.336088220681745,0.39793805408479793,0.41758980739317675,0.014938744209720745,526.7665987007787,0.015589499092973358,Boosting
LightGBM,0.8453458244610573,0.8261771601085439,0.31646455507495747,0.33358744608258667,0.3932558348643608,0.4168742932682094,0.0016266558644228036,0.8423739446881204,0.8251502839192635,0.3190711209773847,0.33773052167529743,0.39702147966058404,0.4194607173236088,0.017223660768856952,507.5871246293954,0.01916866435251341,Boosting
Random Forest,0.8732374944479535,0.8193905662975928,0.2835455121876121,0.33926875234753484,0.35603380471691465,0.4249245377768173,0.0023054784867648703,0.8729485847554584,0.8201133324113479,0.2839769182682759,0.3418816186988091,0.35644272365212,0.4254595904955231,0.05283525234411057,355.2561062240352,0.05384692815036074,Ensemble
Gradient Boosting,0.8297802524893116,0.8139058403641626,0.3294138405171541,0.3447374785897136,0.41256905652405,0.43134127901115493,0.001121874251443098,0.8261896170670966,0.80887988011901,0.3327817261001893,0.3511726675419066,0.41690572427456946,0.43854284938702937,0.017309736948086574,724.8414854273711,0.015874412125149062,Boosting
XGBoost,0.8187264747134171,0.8101485443996668,0.3401025608289616,0.3481712166529035,0.4257566076429476,0.4356766452471444,0.0010978048067860555,0.8177645407478246,0.8074036060955323,0.3411058748809735,0.35196390080824147,0.4268904534563585,0.4402333151060567,0.010360934652292264,737.2997819051296,0.008577930313750315,Boosting
